Key,en,he,it,es,fr,ar,ru
_direction,ltr,rtl,ltr,ltr,ltr,rtl,ltr
app_title,HO-AI,ארגונית,HO-AI,HO-AI,HO-AI,منظم,HO-AI
default_path,Main,ראשי,Principale,Principal,Principal,رئيسي,Основной
loading,Loading...,טוען...,Caricamento...,Cargando...,Chargement...,جار التحميل...,Загрузка...
shopping_list,List,רשימה,Lista,Lista,Liste,قائمة,Список
search_results,Search Results,תוצאות חיפוש,Risultati di ricerca,Resultados de la búsqueda,Résultats de recherche,نتائج البحث,Результаты поиска
search_placeholder,Search...,חיפוש...,Cerca...,Buscar...,Chercher...,بحث...,Поиск...
change_icon,Change Icon,שנה סמל,Cambia icona,Cambiar icono,Changer d'icône,تغيير الرمز,Изменить значок
upload_file,Upload File,העלה קובץ,Carica file,Subir archivo,Télécharger un fichier,رفع ملف,Загрузить файл
paste_url,Paste Image URL...,הדבק כתובת תמונה...,Incolla URL immagine...,Pegar URL de imagen...,Coller l'URL de l'image...,لصق رابط الصورة...,Вставьте URL изображения...
cancel,Cancel,ביטול,Annulla,Cancelar,Annuler,إلغاء,Отмена
back,Back,חזרה,Indietro,Atrás,Retour,عودة,Назад
language,Language,שפה,Lingua,Idioma,Langue,لغة,Язык
theme,Theme,ערכת נושא,Tema,Tema,Thème,موضوع,Тема
light,Light,בהיר,Chiaro,Claro,Clair,فاتح,Свет
dark,Dark,כהה,Scuro,Oscuro,Sombre,داكن,Темный
about,About,אודות,Informazioni,Acerca de,À propos,حول,О
page,Page,עמוד,Pagina,Página,Page,صفحة,Страница
of,of,מתוך,di,de,sur,من,из
add,Add,הוסף,Aggiungi,Añadir,Ajouter,إضافة,Добавлять
add_room,Add Room,הוסף חדר,Aggiungi stanza,Añadir habitación,Ajouter une pièce,إضافة غرفة,Добавить комнату
add_sub,Add Sublocation,הוסף תת-מיקום,Aggiungi sotto-luogo,Añadir sububicación,Ajouter un sous-emplacement,إضافة موقع فرعي,Добавить подлокацию
add_zone_btn,Add Zone,הוסף אזור,Aggiungi zona,Añadir zona,Ajouter une zone,إضافة منطقة,Добавить зону
new_zone,New Zone,אזור חדש,Nuova zona,Nueva zona,Nouvelle zone,منطقة جديدة,Новая зона
new_item,New Item,פריט חדש,Nuovo articolo,Nuevo artículo,Nouvel article,عنصر جديد,Новый товар
out_of_stock,Out of Stock,חסר במלאי,Esaurito,Agotado,Rupture de stock,نفذ من المخزون,Распродано
saving,Saving...,שומר...,Salvataggio...,Guardando...,Enregistrement...,جاري الحفظ...,Сохранение...
name_placeholder,Name,שם,Nome,Nombre,Nom,الاسم,Имя
set_date,Set Date,קבע תאריך,Imposta data,Establecer fecha,Définir la date,تحديد التاريخ,Установить дату
select_room,Select Room,בחר חדר,Seleziona stanza,Seleccionar habitación,Sélectionner une pièce,اختر غرفة,Выберите номер
select_loc,Select Location,בחר מיקום,Seleziona posizione,Seleccionar ubicación,Sélectionner un emplacement,اختر موقعاً,Выберите местоположение
select_subloc,Select Sublocation,בחר תת-מיקום,Seleziona sotto-posizione,Seleccionar sububicación,Sélectionner un sous-emplacement,اختر موقعاً فرعياً,Выберите подрайон
select_cat,Select Category,בחר קטגוריה,Seleziona categoria,Seleccionar categoría,Sélectionner une catégorie,اختر الفئة,Выберите категорию
select_sub,Select Subcategory,בחר תת-קטגוריה,Seleziona sottocategoria,Seleccionar subcategoría,Sélectionner une sous-catégorie,اختر الفئة الفرعية,Выберите подкатегорию
zone_General_Rooms,General Rooms,חדרים כלליים,Stanze generali,Habitaciones generali,Pièces générales,غرف عامة,Общие номера
quantity,Qty,כמות,Qtà,Cant,Qté,الكمية,Кол-во
no_date,No Date,אין תאריך,Nessuna data,Sin fecha,Aucune date,لا يوجد تاريخ,Дата не указана
confirm_del_folder,Delete folder {0} and ALL its contents?,למחוק את התיקייה {0} ואת כל תוכנה?,Eliminare la cartella {0} e TUTTO il suo contenuto?,¿Eliminar la carpeta {0} y TODO su contenido?,Supprimer le dossier {0} et TOUT son contenu?,هل تريد حذف المجلد {0} وكل محتوياته؟,Удалить папку {0} и ВСЁ её содержимое?
confirm_del_item,Delete this item?,למחוק פריט זה?,Eliminare questo articolo?,¿Eliminar este artículo?,Supprimer cet article?,هل تريد حذف هذا العنصر؟,Удалить этот элемент?
confirm_del_zone,Delete zone {0}?,למחוק את אזור {0}?,Eliminare la zona {0}?,¿Eliminar la zona {0}?,Supprimer la zone {0}?,هل تريد حذف المنطقة {0}؟,Удалить зону {0}?
save_to,Save to,שמור אל,Salva in,Guardar en,Enregistrer dans,حفظ في,Сохранить в
take_photo,Take Photo,צלם תמונה,Scatta foto,Tomar foto,Prendre une photo,التقاط صورة,Сделать фото
change_img,Change Image,שנה תמונה,Cambia immagine,Cambiar imagen,Changer l'image,تغيير الصورة,Изменить изображение
duplicate,Duplicate,שכפל,Duplica,Duplicar,Dupliquer,تكرار,Дубликат
delete,Delete,מחק,Elimina,Eliminar,Supprimer,حذف,Удалить
ai_chat_title,AI Chat Assistant,עוזר בינה מלאכותית,Assistente AI Chat,Asistente de chat IA,Assistant Chat IA,مساعد الدردشة الذكي,Искусственный интеллект-помощник в чате
chat_placeholder,Type message or scan invoice...,הקלד הודעה או סרוק חשבונית...,Scrivi un messaggio o scansiona fattura...,Escribe un mensaje o escanea factura...,Tapez un message ou scannez la facture...,اكتب رسالة أو امسح فاتورة...,Введите сообщение или отсканируйте счет-фактуру...
file_attached,File attached (Invoice Scan Mode),קובץ מצורף (מצב סריקת חשבונית),File allegato (Scansione fattura),Archivo adjunto (Escaneo de factura),Fichier joint (Scan de facture),تم إرفاق الملف (وضع مسح الفاتورة),Прикреплен файл (режим сканирования счета-фактуры)
ai_welcome_title,AI Assistant Ready,העוזר החכם מוכן,Assistente AI pronto,Asistente IA listo,Assistant IA prêt,المساعد الذكي جاهز,Готовность к работе с ИИ-помощником
ai_welcome_desc,I can help manage your inventory.,אני יכול לעזור לנהל את המלאי שלך.,Posso aiutare a gestire l'inventario.,Puedo ayudar a gestionar tu inventario.,Je peux aider à gérer votre inventaire.,يمكنني المساعدة في إدارة مخزونك.,Я могу помочь вам с управлением запасами.
ai_caps,Capabilities:,יכולות:,Capacità:,Capacidades:,Capacités:,القدرات:,Возможности:
ai_cap_1,Add Items: 'Add 3 batteries to kitchen',הוספת פריטים: 'הוסף 3 סוללות למטבח',Aggiungi articoli: 'Aggiungi 3 batterie in cucina',Añadir artículos: 'Añade 3 pilas a la cocina',Ajouter des articles : 'Ajouter 3 piles à la cuisine',إضافة عناصر: 'إضافة 3 بطاريات إلى المطبخ',Добавить товары: «Добавить 3 батарейки на кухню»
ai_cap_2,Scan Invoices: Tap the camera icon!,סריקת חשבוניות: לחץ על סמל המצלמה!,Scansiona fatture: tocca l'icona fotocamera!,Escanear facturas: ¡Toca el icono de la cámara!,Scanner des factures : Appuyez sur l'icône caméra !,مسح الفواتير: اضغط على أيقونة الكاميرا!,Сканирование счетов-фактур: нажмите на значок камеры!
ai_cap_3,Find things: 'Where is the milk?',חיפוש פריטים: 'איפה החלב?',Trova cose: 'Dov'è il latte?',Encontrar cosas: '¿Dónde está la leche?',Trouver des choses : 'Où est le lait ?',العثور على الأشياء: 'أين الحليب؟',Найти предметы: «Где молоко?»
ai_cap_4,Reports: 'What is in the garage?',דוחות: 'מה יש במוסך?',Report: 'Cosa c'è in garage?',Informes: '¿Qué hay en el garaje?',Rapports : 'Qu'y a-t-il dans le garage ?',التقارير: 'ماذا يوجد في المرآب؟',Сообщения: «Что находится в гараже?»
scanning_invoice,Scanning Invoice...,סורק חשבונית...,Scansione fattura...,Escaneando factura...,Scan de la facture...,جاري مسح الفاتورة...,Сканирование счета-фактуры...
analyzing,Analyzing...,מנתח...,Analisi...,Analizando...,Analyse...,جاري التحليل...,Анализ...
starting_process,Starting Process...,מתחיל תהליך...,Avvio processo...,Iniciando proceso...,Démarrage du processus...,بدء العملية...,Начальный процесс...
complete,Complete,הושלם,Completato,Completado,Terminé,مكتمل,Полный
failed,Failed,נכשל,Fallito,Falló,Échoué,فشل,Неуспешный
error,Error,שגיאה,Errore,Error,Erreur,خطأ,Ошибка
scanned_invoice,Scanned Invoice,חשבונית שנסרקה,Fattura scansionata,Factura escaneada,Facture numérisée,فاتورة ممسوحة,Отсканированный счет-фактура
cat_Food,Food,מזון,Cibo,Comida,Nourriture,طعام,Еда
cat_Cleaning_Home_Maintenance,Cleaning & Home,ניקיון ותחזוקת הבית,Pulizia e casa,Limpieza y hogar,Nettoyage et maison,تنظيف وصيانة المنزل,Уборка и дом
cat_Toiletries_Pharmacy,Toiletries & Pharmacy,טואלטיקה ופארמה,Bagno e farmacia,Aseo y farmacia,Toilette et pharmacie,مستلزمات العناية الشخصية والصيدلية,Туалетные принадлежности и аптечные товары
cat_General_Home_Office_Supplies,General & Office,ציוד כללי ומשרדי,Generale e ufficio,General y oficina,Général et bureau,لوازم عامة ومكتبية,Общие и офисные вопросы
cat_Tools_Home_Maintenance,Tools & Maintenance,כלי עבודה ותחזוקה,Strumenti e manutenzione,Herramientas y mantenimiento,Outils et entretien,أدوات وصيانة المنزل,Инструменты и техническое обслуживание
cat_Medicines_First_Aid,Medicines & First Aid,תרופות ועזרה ראשונה,Farmaci e primo soccorso,Medicamentos y primeros auxilios,Médicaments et premiers soins,أدوية وإسعافات أولية,Лекарства и первая помощь
cat_Kitchenware,Kitchenware,כלי מטבח,Utensili da cucina,Utensilios de cocina,Ustensiles de cuisine,أدوات المطبخ,Кухонная утварь
cat_Electronics_Entertainment,Electronics & Ent.,אלקטרוניקה ובידור,Elettronica e int.,Electrónica y ent.,Électronique et div.,إلكترونيات وترفيه,Электроника и развлечения.
cat_Clothing_Footwear,Clothing & Footwear,ביגוד והנעלה,Abbigliamento e calzature,Ropa y calzado,Vêtements et chaussures,ملابس وأحذية,Одежда и обувь
cat_Home_Textiles_Bedding,Textiles & Bedding,טקסטיל ומצעים,Tessili e biancheria,Textiles y ropa de cama,Textiles et literie,منسوجات ومفارش,Текстиль и постельное белье
cat_Pet_Supplies,Pet Supplies,ציוד לחיות מחמד,Articoli per animali,Artículos para mascotas,Articles pour animaux,مستلزمات الحيوانات الأليفة,Товары для животных
cat_Baby_Supplies,Baby Supplies,ציוד לתינוקות,Articoli per neonati,Artículos para bebés,Articles pour bébés,مستلزمات الأطفال,Товары для младенцев
cat_Outdoor_Garden_Equipment,Outdoor & Garden,ציוד גן וחוץ,Esterni e giardino,Exterior y jardín,Extérieur et jardin,معدات خارجية وحدائق,Товары для улицы и сада
cat_Fitness_Gear,Fitness Gear,ציוד כושר,Attrezzatura fitness,Equipo de fitness,Équipement de fitness,معدات لياقة بدنية,Фитнес-оборудование
cat_Toys,Toys,צעצועים,Giocattoli,Juguetes,Jouets,ألعاب,Игрушки
sub_Dairy_Eggs,Dairy & Eggs,מוצרי חלב וביצים,Latticini e uova,Lácteos y huevos,Produits laitiers et œufs,ألبان وبيض,Молочные продукты и яйца
sub_Meat_Poultry_Fish,Meat & Fish,בשר עוף ודגים,Carne e pesce,Carne y pescado,Viande et poisson,لحوم ودواجن وأسماك,Мясо и рыба
sub_Vegetables_Fresh_,Vegetables,ירקות (טריים),Verdure,Verduras,Légumes,خضروات,Овощи
sub_Fruits_Fresh_,Fruits,פירות (טריים),Frutta,Frutas,Fruits,فواكه,Фрукты
sub_Pantry_Dry_Goods_Carbs_Legumes_,Pantry & Dry Goods,מזווה ויבשים,Dispensa e secchi,Despensa y secos,Garde-manger et secs,مؤن ومواد جافة,Продукты питания и бакалейные товары
sub_Spices_Baking_Goods,Spices & Baking,תבלינים ואפייה,Spezie e dolci,Especias y repostería,Épices et pâtisserie,بهارات ومستلزمات خبز,Специи и выпечка
sub_Sauces_Spreads,Sauces & Spreads,רטבים וממרחים,Salse e creme,Salsas y untables,Sauces et pâtes à tartiner,صلصات ومعاجين,Соусы и пасты
sub_Canned_Goods,Canned Goods,שימורים,Prodotti in scatola,Enlatados,Conserves,معلبات,Консервы
sub_Bread_Pastries,Bread & Pastries,לחם ומאפים,Pane e dolci,Pan y pasteles,Pain et pâtisseries,خبز ومعجنات,Хлеб и выпечка
sub_Beverages,Beverages,משקאות,Bevande,Bebidas,Boissons,مشروبات,Напитки
sub_Snacks_Sweets,Snacks & Sweets,חטיפים וממתקים,Snack e dolci,Snacks y dulces,Snacks et bonbons,وجبات خفيفة وحلويات,Закуски и сладости
sub_Dietary_Supplements_Vitamins,Supplements & Vitamins,תוספי תזונה וויטמינים,Integratori e vitamine,Suplementos y vitaminas,Compléments et vitamines,مكملات غذائية وفيتامينات,Биологически активные добавки и витамины
sub_General_Cleaning,General Cleaning,ניקיון כללי,Pulizia generale,Limpieza general,Nettoyage général,تنظيف عام,Генеральная уборка
sub_Laundry,Laundry,כביסה,Bucato,Lavandería,Blanchisserie,غسيل,Прачечная
sub_Dishwashing,Dishwashing,שטיפת כלים,Lavaggio piatti,Lavado de vajilla,Vaisselle,غسل الأطباق,Мытье посуды
